model,semantic_category,discourse_relation,metric,n_games,base,ft,delta,ci_low,ci_high,ci_excludes_zero,base_support_per_run,ft_support_per_run,low_support_diagnostic,n_valid_replicates,n_replicates,seed
Gemma 4 4B,Mechanical,Contingency.Cause,conditional_density,191,0.5954526694625634,0.47978546601980493,-0.11566720344275844,-0.3838157853247727,0.16534705098339803,False,13.333333333333334,15.0,True,10000,10000,20260826
Gemma 4 4B,Mechanical,Contingency.Cause,baseline_density,191,0.4303394961396476,0.34024969294186896,-0.09008980319777865,-0.16216182825014008,-0.01986542249354324,True,13.333333333333334,15.0,True,10000,10000,20260826
Gemma 4 4B,Mechanical,Contingency.Cause,localization,191,35.18518518518518,34.285714285714285,-0.8994708994708986,-36.709776334776336,40.0,False,13.333333333333334,15.0,True,10000,10000,20260826
Gemma 4 4B,Mechanical,Contingency.Cause,lift,191,1.4715889712305483,1.3207408043345543,-0.150848166895994,-0.8505660265205232,0.6170262061253367,False,13.333333333333334,15.0,True,10000,10000,20260826
Gemma 4 2B,Mechanical,Contingency.Condition,category_prevalence,190,2.9824561403508767,2.982456140350877,4.440892098500626e-16,-2.105263157894737,2.1052631578947376,False,5.666666666666667,5.666666666666667,True,10000,10000,20260826
Gemma 4 2B,Mechanical,Contingency.Condition,conditional_prevalence,190,24.206349206349206,24.444444444444446,0.2380952380952408,-32.22222222222223,29.365079365079364,False,5.666666666666667,5.666666666666667,True,10000,10000,20260826
Gemma 4 2B,Mechanical,Contingency.Condition,conditional_density,190,0.34886489552838396,0.5291152022165533,0.18025030668816933,-0.353368914934087,0.6447919994981285,False,5.666666666666667,5.666666666666667,True,10000,10000,20260826
Gemma 4 2B,Mechanical,Contingency.Condition,baseline_density,190,0.18076221904027326,0.17719399805734234,-0.003568220982930914,-0.06582952880311009,0.058793871460965944,False,5.666666666666667,5.666666666666667,True,10000,10000,20260826
Gemma 4 2B,Mechanical,Contingency.Condition,localization,190,33.333333333333336,83.33333333333333,49.99999999999999,-50.0,100.0,False,5.666666666666667,5.666666666666667,True,9660,10000,20260826
Gemma 4 2B,Mechanical,Contingency.Condition,lift,190,2.113761842022712,2.5738705738705736,0.46010873184786183,-2.642550055775938,3.5268597309855467,False,5.666666666666667,5.666666666666667,True,10000,10000,20260826
Gemma 4 31B,Mechanical,Contingency.Condition,category_prevalence,188,53.36879432624113,49.46808510638298,-3.9007092198581503,-9.042553191489361,1.2411347517730462,False,100.33333333333333,93.0,False,10000,10000,20260826
Gemma 4 31B,Mechanical,Contingency.Condition,conditional_prevalence,188,42.52145214521452,43.14239757309065,0.6209454278761299,-6.80345415834119,7.987797282739007,False,100.33333333333333,93.0,False,10000,10000,20260826
Gemma 4 31B,Mechanical,Contingency.Condition,conditional_density,188,0.6559964686771466,0.7646284351164957,0.10863196643934914,-0.020238987232689444,0.23983270563360065,False,100.33333333333333,93.0,False,10000,10000,20260826
Gemma 4 31B,Mechanical,Contingency.Condition,baseline_density,188,0.4832700298978392,0.4672671216739679,-0.016002908223871293,-0.10210242934803905,0.07027445356069162,False,100.33333333333333,93.0,False,10000,10000,20260826
Gemma 4 31B,Mechanical,Contingency.Condition,localization,188,88.23491323491324,84.89472030169705,-3.340192933216187,-11.110143316733188,4.694956182152538,False,100.33333333333333,93.0,False,10000,10000,20260826
Gemma 4 31B,Mechanical,Contingency.Condition,lift,188,1.4098356315050389,1.6308981094650346,0.22106247795999567,0.04003231171726004,0.4138306833661802,True,100.33333333333333,93.0,False,10000,10000,20260826
Gemma 4 4B,Mechanical,Contingency.Condition,category_prevalence,191,6.980802792321117,7.853403141361256,0.8726003490401393,-1.5706806282722505,3.31588132635253,False,13.333333333333334,15.0,True,10000,10000,20260826
Gemma 4 4B,Mechanical,Contingency.Condition,conditional_prevalence,191,9.786324786324785,13.392857142857144,3.606532356532359,-13.028871455342042,18.20729379552909,False,13.333333333333334,15.0,True,10000,10000,20260826
Gemma 4 4B,Mechanical,Contingency.Condition,conditional_density,191,0.1222557812020012,0.18141255449921898,0.059156773297217774,-0.15908215260839367,0.25435085194426665,False,13.333333333333334,15.0,True,10000,10000,20260826
Gemma 4 4B,Mechanical,Contingency.Condition,baseline_density,191,0.07883144110180756,0.05637437845229237,-0.02245706264951519,-0.05994063246294872,0.01255866907430455,False,13.333333333333334,15.0,True,10000,10000,20260826
Gemma 4 4B,Mechanical,Contingency.Condition,localization,191,33.333333333333336,33.333333333333336,0.0,-80.0,70.0,False,13.333333333333334,15.0,True,9482,10000,20260826
Gemma 4 4B,Mechanical,Contingency.Condition,lift,191,1.7292612942612944,3.0696428571428576,1.3403815628815632,-1.647944277640002,4.527032797410407,False,13.333333333333334,15.0,True,10000,10000,20260826
Gemma 4 2B,ClaimComparison,Temporal,category_prevalence,190,7.894736842105264,7.368421052631579,-0.526315789473685,-3.333333333333334,2.105263157894737,False,15.0,14.0,True,10000,10000,20260826
Gemma 4 2B,ClaimComparison,Temporal,conditional_prevalence,190,48.40623428858723,48.214285714285715,-0.19194857430151302,-19.62165244885834,19.080051372775824,False,15.0,14.0,True,10000,10000,20260826
Gemma 4 2B,ClaimComparison,Temporal,conditional_density,190,0.794967257385558,0.8483008269751929,0.05333356958963498,-0.3300096709708382,0.40452510822116355,False,15.0,14.0,True,10000,10000,20260826
Gemma 4 2B,ClaimComparison,Temporal,baseline_density,190,0.27239464844679406,0.352107991395111,0.07971334294831695,0.0018694880491781029,0.1589415907668466,True,15.0,14.0,True,10000,10000,20260826
Gemma 4 2B,ClaimComparison,Temporal,localization,190,77.81385281385282,94.44444444444444,16.630591630591624,-6.595238095238084,42.661706349206305,False,15.0,14.0,True,10000,10000,20260826
Gemma 4 2B,ClaimComparison,Temporal,lift,190,2.9893927713535557,2.470979417407989,-0.5184133539455669,-1.7732569467025474,0.6164018890394243,False,15.0,14.0,True,10000,10000,20260826
Gemma 4 31B,ClaimComparison,Temporal,category_prevalence,188,56.737588652482266,59.75177304964539,3.0141843971631204,-1.418439716312058,7.624113475177303,False,106.66666666666667,112.33333333333333,False,10000,10000,20260826
