model,decoding_group,run_label,category_a,category_b,is_diagonal,n_justifications,support,joint_prevalence,prevalence_a,prevalence_b,lift
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Mechanical,False,191,2,0.010471204188481676,0.5602094240837696,0.031413612565445025,0.5950155763239877
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Testimony,False,191,51,0.2670157068062827,0.5602094240837696,0.5392670157068062,0.8838580891026223
Gemma 4 2B,Stochastic,run_3,SocialJudgment,SocialJudgment,True,191,107,0.5602094240837696,0.5602094240837696,0.5602094240837696,
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Behavioral,False,191,18,0.09424083769633508,0.5602094240837696,0.17801047120418848,0.9450247388675097
Gemma 4 2B,Stochastic,run_3,SocialJudgment,ClaimComparison,False,191,6,0.031413612565445025,0.5602094240837696,0.07853403141361257,0.7140186915887851
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Payoff,False,191,99,0.518324607329843,0.5602094240837696,0.900523560209424,1.0274396870245601
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Uncertainty,False,191,57,0.29842931937172773,0.5602094240837696,0.5968586387434555,0.8925233644859815
Gemma 4 2B,Stochastic,run_3,Behavioral,Mechanical,False,191,1,0.005235602094240838,0.17801047120418848,0.031413612565445025,0.9362745098039217
Gemma 4 2B,Stochastic,run_3,Behavioral,Testimony,False,191,15,0.07853403141361257,0.17801047120418848,0.5392670157068062,0.8181039406053685
Gemma 4 2B,Stochastic,run_3,Behavioral,SocialJudgment,False,191,18,0.09424083769633508,0.17801047120418848,0.5602094240837696,0.9450247388675097
Gemma 4 2B,Stochastic,run_3,Behavioral,Behavioral,True,191,34,0.17801047120418848,0.17801047120418848,0.17801047120418848,
Gemma 4 2B,Stochastic,run_3,Behavioral,ClaimComparison,False,191,4,0.020942408376963352,0.17801047120418848,0.07853403141361257,1.4980392156862747
Gemma 4 2B,Stochastic,run_3,Behavioral,Payoff,False,191,30,0.15706806282722513,0.17801047120418848,0.900523560209424,0.9798221614227087
Gemma 4 2B,Stochastic,run_3,Behavioral,Uncertainty,False,191,17,0.08900523560209424,0.17801047120418848,0.5968586387434555,0.8377192982456141
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Mechanical,False,191,0,0.0,0.07853403141361257,0.031413612565445025,0.0
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Testimony,False,191,15,0.07853403141361257,0.07853403141361257,0.5392670157068062,1.854368932038835
Gemma 4 2B,Stochastic,run_3,ClaimComparison,SocialJudgment,False,191,6,0.031413612565445025,0.07853403141361257,0.5602094240837696,0.7140186915887851
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Behavioral,False,191,4,0.020942408376963352,0.07853403141361257,0.17801047120418848,1.4980392156862747
Gemma 4 2B,Stochastic,run_3,ClaimComparison,ClaimComparison,True,191,15,0.07853403141361257,0.07853403141361257,0.07853403141361257,
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Payoff,False,191,12,0.06282722513089005,0.07853403141361257,0.900523560209424,0.8883720930232559
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Uncertainty,False,191,6,0.031413612565445025,0.07853403141361257,0.5968586387434555,0.6701754385964912
Gemma 4 2B,Stochastic,run_3,Payoff,Mechanical,False,191,5,0.02617801047120419,0.900523560209424,0.031413612565445025,0.9253875968992249
Gemma 4 2B,Stochastic,run_3,Payoff,Testimony,False,191,94,0.49214659685863876,0.900523560209424,0.5392670157068062,1.0134341837886658
Gemma 4 2B,Stochastic,run_3,Payoff,SocialJudgment,False,191,99,0.518324607329843,0.900523560209424,0.5602094240837696,1.0274396870245601
Gemma 4 2B,Stochastic,run_3,Payoff,Behavioral,False,191,30,0.15706806282722513,0.900523560209424,0.17801047120418848,0.9798221614227087
Gemma 4 2B,Stochastic,run_3,Payoff,ClaimComparison,False,191,12,0.06282722513089005,0.900523560209424,0.07853403141361257,0.8883720930232559
Gemma 4 2B,Stochastic,run_3,Payoff,Payoff,True,191,172,0.900523560209424,0.900523560209424,0.900523560209424,
Gemma 4 2B,Stochastic,run_3,Payoff,Uncertainty,False,191,102,0.5340314136125655,0.900523560209424,0.5968586387434555,0.9935740514075889
Gemma 4 2B,Stochastic,run_3,Uncertainty,Mechanical,False,191,3,0.015706806282722512,0.5968586387434555,0.031413612565445025,0.837719298245614
Gemma 4 2B,Stochastic,run_3,Uncertainty,Testimony,False,191,48,0.2513089005235602,0.5968586387434555,0.5392670157068062,0.7807869187531937
Gemma 4 2B,Stochastic,run_3,Uncertainty,SocialJudgment,False,191,57,0.29842931937172773,0.5968586387434555,0.5602094240837696,0.8925233644859815
Gemma 4 2B,Stochastic,run_3,Uncertainty,Behavioral,False,191,17,0.08900523560209424,0.5968586387434555,0.17801047120418848,0.8377192982456141
Gemma 4 2B,Stochastic,run_3,Uncertainty,ClaimComparison,False,191,6,0.031413612565445025,0.5968586387434555,0.07853403141361257,0.6701754385964912
Gemma 4 2B,Stochastic,run_3,Uncertainty,Payoff,False,191,102,0.5340314136125655,0.5968586387434555,0.900523560209424,0.9935740514075889
Gemma 4 2B,Stochastic,run_3,Uncertainty,Uncertainty,True,191,114,0.5968586387434555,0.5968586387434555,0.5968586387434555,
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Mechanical,True,191,5,0.02617801047120419,0.02617801047120419,0.02617801047120419,
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Testimony,False,191,5,0.02617801047120419,0.02617801047120419,0.5445026178010471,1.8365384615384615
Gemma 4 2B,Greedy,greedy_t0,Mechanical,SocialJudgment,False,191,2,0.010471204188481676,0.02617801047120419,0.5078534031413613,0.7876288659793814
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Behavioral,False,191,2,0.010471204188481676,0.02617801047120419,0.17801047120418848,2.2470588235294118
Gemma 4 2B,Greedy,greedy_t0,Mechanical,ClaimComparison,False,191,0,0.0,0.02617801047120419,0.07853403141361257,0.0
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Payoff,False,191,5,0.02617801047120419,0.02617801047120419,0.900523560209424,1.1104651162790697
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Uncertainty,False,191,1,0.005235602094240838,0.02617801047120419,0.6387434554973822,0.3131147540983607
Gemma 4 2B,Greedy,greedy_t0,Testimony,Mechanical,False,191,5,0.02617801047120419,0.5445026178010471,0.02617801047120419,1.8365384615384615
Gemma 4 2B,Greedy,greedy_t0,Testimony,Testimony,True,191,104,0.5445026178010471,0.5445026178010471,0.5445026178010471,
Gemma 4 2B,Greedy,greedy_t0,Testimony,SocialJudgment,False,191,47,0.24607329842931938,0.5445026178010471,0.5078534031413613,0.8898691514670896
Gemma 4 2B,Greedy,greedy_t0,Testimony,Behavioral,False,191,20,0.10471204188481675,0.5445026178010471,0.17801047120418848,1.080316742081448
Gemma 4 2B,Greedy,greedy_t0,Testimony,ClaimComparison,False,191,15,0.07853403141361257,0.5445026178010471,0.07853403141361257,1.8365384615384615
Gemma 4 2B,Greedy,greedy_t0,Testimony,Payoff,False,191,101,0.5287958115183246,0.5445026178010471,0.900523560209424,1.0784324686940965
Gemma 4 2B,Greedy,greedy_t0,Testimony,Uncertainty,False,191,56,0.2931937172774869,0.5445026178010471,0.6387434554973822,0.8430012610340478
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Mechanical,False,191,2,0.010471204188481676,0.5078534031413613,0.02617801047120419,0.7876288659793814
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Testimony,False,191,47,0.24607329842931938,0.5078534031413613,0.5445026178010471,0.8898691514670896
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,SocialJudgment,True,191,97,0.5078534031413613,0.5078534031413613,0.5078534031413613,
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Behavioral,False,191,14,0.07329842931937172,0.5078534031413613,0.17801047120418848,0.8107944208611279
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,ClaimComparison,False,191,7,0.03664921465968586,0.5078534031413613,0.07853403141361257,0.9189003436426115
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Payoff,False,191,88,0.4607329842931937,0.5078534031413613,0.900523560209424,1.0074322704387435
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Uncertainty,False,191,50,0.2617801047120419,0.5078534031413613,0.6387434554973822,0.8069967889133005
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Mechanical,False,191,2,0.010471204188481676,0.17801047120418848,0.02617801047120419,2.2470588235294118
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Testimony,False,191,20,0.10471204188481675,0.17801047120418848,0.5445026178010471,1.080316742081448
Gemma 4 2B,Greedy,greedy_t0,Behavioral,SocialJudgment,False,191,14,0.07329842931937172,0.17801047120418848,0.5078534031413613,0.8107944208611279
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Behavioral,True,191,34,0.17801047120418848,0.17801047120418848,0.17801047120418848,
Gemma 4 2B,Greedy,greedy_t0,Behavioral,ClaimComparison,False,191,2,0.010471204188481676,0.17801047120418848,0.07853403141361257,0.7490196078431374
