model,decoding_group,pair,joint_prevalence_mean,prevalence_a_mean,prevalence_b_mean,support_mean,support_total,lift_mean,lift_sd,support_is_thin,min_support_threshold
Gemma 4 31B,Greedy,Payoff + Testimony,0.2879581151832461,0.2931937172774869,0.9895287958115183,55.0,55,0.9925359032501891,,False,10.0
Gemma 4 31B,Greedy,Behavioral + SocialJudgment,0.19895287958115182,0.612565445026178,0.3036649214659686,38.0,38,1.06955496610669,,False,10.0
Gemma 4 31B,Greedy,Behavioral + Payoff,0.16753926701570682,0.612565445026178,0.2931937172774869,32.0,32,0.932844932844933,,False,10.0
Gemma 4 31B,Greedy,ClaimComparison + SocialJudgment,0.16230366492146597,0.5968586387434555,0.3036649214659686,31.0,31,0.8954930429522082,,False,10.0
Gemma 4 31B,Greedy,ClaimComparison + Payoff,0.15706806282722513,0.5968586387434555,0.2931937172774869,30.0,30,0.8975563909774437,,False,10.0
Gemma 4 31B,Greedy,Mechanical + Payoff,0.14659685863874344,0.5392670157068062,0.2931937172774869,28.0,28,0.9271844660194176,,False,10.0
Gemma 4 31B,Greedy,Mechanical + SocialJudgment,0.12041884816753927,0.5392670157068062,0.3036649214659686,23.0,23,0.735353197187814,,False,10.0
Gemma 4 31B,Greedy,Testimony + Uncertainty,0.07329842931937172,0.9895287958115183,0.07853403141361257,14.0,14,0.9432098765432099,,False,10.0
Gemma 4 31B,Greedy,Payoff + SocialJudgment,0.06806282722513089,0.2931937172774869,0.3036649214659686,13.0,13,0.7644704433497538,,False,10.0
Gemma 4 31B,Greedy,ClaimComparison + Uncertainty,0.03664921465968586,0.5968586387434555,0.07853403141361257,7.0,7,0.7818713450292397,,True,10.0
Gemma 4 31B,Greedy,Mechanical + Uncertainty,0.031413612565445025,0.5392670157068062,0.07853403141361257,6.0,6,0.7417475728155339,,True,10.0
Gemma 4 31B,Greedy,SocialJudgment + Uncertainty,0.031413612565445025,0.3036649214659686,0.07853403141361257,6.0,6,1.3172413793103448,,True,10.0
Gemma 4 31B,Greedy,Behavioral + Uncertainty,0.02617801047120419,0.612565445026178,0.07853403141361257,5.0,5,0.5441595441595442,,True,10.0
Gemma 4 31B,Greedy,Payoff + Uncertainty,0.02617801047120419,0.2931937172774869,0.07853403141361257,5.0,5,1.1369047619047619,,True,10.0
