model,decoding_group,category_a,category_b,is_diagonal,n_runs,support_mean,support_total,joint_prevalence_mean,lift_mean,lift_sd
Gemma 4 31B,Stochastic,ClaimComparison,SocialJudgment,False,3,27.0,81,0.14136125654450263,0.8316497393269534,0.08821450423099961
Gemma 4 31B,Stochastic,ClaimComparison,Testimony,False,3,109.33333333333333,328,0.5724258289703316,1.0178843457118933,0.013686748125981677
Gemma 4 31B,Stochastic,ClaimComparison,Uncertainty,False,3,10.666666666666666,32,0.055846422338568937,0.920009935318784,0.19739613706637946
Gemma 4 31B,Stochastic,Mechanical,Behavioral,False,3,57.0,171,0.29842931937172773,0.9164124503693881,0.039527791999357624
Gemma 4 31B,Stochastic,Mechanical,ClaimComparison,False,3,49.333333333333336,148,0.2582897033158813,0.8550787584005538,0.05605916424137581
Gemma 4 31B,Stochastic,Mechanical,Mechanical,True,3,101.0,303,0.5287958115183246,,
Gemma 4 31B,Stochastic,Mechanical,Payoff,False,3,24.666666666666668,74,0.12914485165794065,0.8670162778989763,0.19315901831873833
Gemma 4 31B,Stochastic,Mechanical,SocialJudgment,False,3,23.666666666666668,71,0.12390924956369982,0.7846982439840624,0.053255525355719084
Gemma 4 31B,Stochastic,Mechanical,Testimony,False,3,99.0,297,0.518324607329843,0.9976385524815005,0.003584368494177661
Gemma 4 31B,Stochastic,Mechanical,Uncertainty,False,3,6.333333333333333,19,0.0331588132635253,0.5838021302130213,0.10762717624705571
Gemma 4 31B,Stochastic,Payoff,Behavioral,False,3,30.0,90,0.15706806282722513,0.9267660105496974,0.08467422964965747
Gemma 4 31B,Stochastic,Payoff,ClaimComparison,False,3,24.333333333333332,73,0.1273996509598604,0.8096658425967872,0.08787395660314809
Gemma 4 31B,Stochastic,Payoff,Mechanical,False,3,24.666666666666668,74,0.12914485165794065,0.8670162778989763,0.19315901831873833
Gemma 4 31B,Stochastic,Payoff,Payoff,True,3,52.666666666666664,158,0.2757417102966841,,
Gemma 4 31B,Stochastic,Payoff,SocialJudgment,False,3,10.333333333333334,31,0.05410122164048866,0.664582772470827,0.1415298930238725
Gemma 4 31B,Stochastic,Payoff,Testimony,False,3,51.0,153,0.2670157068062827,0.9866125430814062,0.009497572299454006
