model,decoding_group,category_a,category_b,is_diagonal,n_runs,support_mean,support_total,joint_prevalence_mean,joint_prevalence_sd,prevalence_a_mean,prevalence_b_mean
Gemma 4 4B,Stochastic,Mechanical,SocialJudgment,False,3,5.0,15,0.02617801047120419,0.009068328835439147,0.06980802792321117,0.56195462478185
Gemma 4 4B,Stochastic,Mechanical,Testimony,False,3,12.333333333333334,37,0.06457242582897033,0.0030227762784797193,0.06980802792321117,0.7539267015706805
Gemma 4 4B,Stochastic,Mechanical,Uncertainty,False,3,3.3333333333333335,10,0.017452006980802792,0.007997514301842652,0.06980802792321117,0.4258289703315881
Gemma 4 4B,Stochastic,Payoff,Behavioral,False,3,75.66666666666667,227,0.3961605584642234,0.01599502860368529,0.719022687609075,0.581151832460733
Gemma 4 4B,Stochastic,Payoff,ClaimComparison,False,3,24.666666666666668,74,0.12914485165794065,0.021159433949358007,0.719022687609075,0.18324607329842932
Gemma 4 4B,Stochastic,Payoff,Mechanical,False,3,10.333333333333334,31,0.05410122164048866,0.006045552556959431,0.719022687609075,0.06980802792321117
Gemma 4 4B,Stochastic,Payoff,Payoff,True,3,137.33333333333334,412,0.719022687609075,0.012091105113918877,0.719022687609075,0.719022687609075
Gemma 4 4B,Stochastic,Payoff,SocialJudgment,False,3,79.33333333333333,238,0.4153577661431065,0.007997514301842661,0.719022687609075,0.56195462478185
Gemma 4 4B,Stochastic,Payoff,Testimony,False,3,106.33333333333333,319,0.5567190226876091,0.01683010604012735,0.719022687609075,0.7539267015706805
Gemma 4 4B,Stochastic,Payoff,Uncertainty,False,3,51.0,153,0.26701570680628267,0.022821460437385716,0.719022687609075,0.4258289703315881
Gemma 4 4B,Stochastic,SocialJudgment,Behavioral,False,3,60.333333333333336,181,0.3158813263525306,0.021159433949358035,0.56195462478185,0.581151832460733
Gemma 4 4B,Stochastic,SocialJudgment,ClaimComparison,False,3,17.333333333333332,52,0.09075043630017453,0.012091105113918862,0.56195462478185,0.18324607329842932
Gemma 4 4B,Stochastic,SocialJudgment,Mechanical,False,3,5.0,15,0.02617801047120419,0.009068328835439147,0.56195462478185,0.06980802792321117
Gemma 4 4B,Stochastic,SocialJudgment,Payoff,False,3,79.33333333333333,238,0.4153577661431065,0.007997514301842661,0.56195462478185,0.719022687609075
Gemma 4 4B,Stochastic,SocialJudgment,SocialJudgment,True,3,107.33333333333333,322,0.56195462478185,0.015995028603685322,0.56195462478185,0.56195462478185
Gemma 4 4B,Stochastic,SocialJudgment,Testimony,False,3,74.66666666666667,224,0.3909249563699826,0.0030227762784797193,0.56195462478185,0.7539267015706805
Gemma 4 4B,Stochastic,SocialJudgment,Uncertainty,False,3,41.333333333333336,124,0.21640488656195464,0.03929609162023631,0.56195462478185,0.4258289703315881
Gemma 4 4B,Stochastic,Testimony,Behavioral,False,3,85.0,255,0.4450261780104712,0.04188481675392672,0.7539267015706805,0.581151832460733
Gemma 4 4B,Stochastic,Testimony,ClaimComparison,False,3,33.333333333333336,100,0.17452006980802792,0.010898774866314827,0.7539267015706805,0.18324607329842932
Gemma 4 4B,Stochastic,Testimony,Mechanical,False,3,12.333333333333334,37,0.06457242582897033,0.0030227762784797193,0.7539267015706805,0.06980802792321117
Gemma 4 4B,Stochastic,Testimony,Payoff,False,3,106.33333333333333,319,0.5567190226876091,0.01683010604012735,0.7539267015706805,0.719022687609075
Gemma 4 4B,Stochastic,Testimony,SocialJudgment,False,3,74.66666666666667,224,0.3909249563699826,0.0030227762784797193,0.7539267015706805,0.56195462478185
Gemma 4 4B,Stochastic,Testimony,Testimony,True,3,144.0,432,0.7539267015706805,0.018877231808712036,0.7539267015706805,0.7539267015706805
Gemma 4 4B,Stochastic,Testimony,Uncertainty,False,3,56.0,168,0.29319371727748694,0.018877231808711974,0.7539267015706805,0.4258289703315881
Gemma 4 4B,Stochastic,Uncertainty,Behavioral,False,3,40.333333333333336,121,0.21116928446771377,0.007997514301842661,0.4258289703315881,0.581151832460733
Gemma 4 4B,Stochastic,Uncertainty,ClaimComparison,False,3,10.666666666666666,32,0.05584642233856893,0.018386830284210714,0.4258289703315881,0.18324607329842932
Gemma 4 4B,Stochastic,Uncertainty,Mechanical,False,3,3.3333333333333335,10,0.017452006980802792,0.007997514301842652,0.4258289703315881,0.06980802792321117
Gemma 4 4B,Stochastic,Uncertainty,Payoff,False,3,51.0,153,0.26701570680628267,0.022821460437385716,0.4258289703315881,0.719022687609075
