repeat,fold,n_test_games,selected_penalty,mean_loss,mean_agreement,model,representation,block
3,2,37,100.0,1.3858273771979497,0.4594594594594595,2B,rate_temporal,enriched
3,3,35,100.0,1.4583323237693686,0.41904761904761906,2B,rate_temporal,enriched
3,4,39,100.0,1.7628570866584259,0.3504273504273504,2B,rate_temporal,enriched
4,0,37,100.0,1.503340205069974,0.2972972972972973,2B,rate_temporal,enriched
4,1,40,100.0,1.452072407431258,0.4333333333333333,2B,rate_temporal,enriched
4,2,33,100.0,1.6453233629013457,0.41414141414141414,2B,rate_temporal,enriched
4,3,42,100.0,1.5404224065618237,0.36507936507936506,2B,rate_temporal,enriched
4,4,37,100.0,1.4456443040447133,0.3693693693693693,2B,rate_temporal,enriched
0,0,39,100.0,1.4468672553924147,0.3846153846153846,2B,rate_temporal,combined
0,1,39,100.0,1.2922719038744848,0.5299145299145298,2B,rate_temporal,combined
0,2,37,100.0,1.6525843579886952,0.40540540540540543,2B,rate_temporal,combined
0,3,37,100.0,1.6572917196755352,0.42342342342342343,2B,rate_temporal,combined
0,4,37,100.0,1.4414705686226152,0.35135135135135137,2B,rate_temporal,combined
1,0,39,100.0,1.376849637992218,0.5384615384615383,2B,rate_temporal,combined
1,1,38,100.0,1.508673227533288,0.3508771929824562,2B,rate_temporal,combined
1,2,36,100.0,1.5883300329729617,0.35185185185185186,2B,rate_temporal,combined
1,3,38,100.0,1.6755922347117314,0.35964912280701755,2B,rate_temporal,combined
1,4,38,100.0,1.397886022238174,0.3771929824561403,2B,rate_temporal,combined
2,0,40,100.0,1.5587452130663366,0.3583333333333333,2B,rate_temporal,combined
2,1,47,100.0,1.4740956396457543,0.44680851063829785,2B,rate_temporal,combined
2,2,32,100.0,1.565664665959229,0.3125,2B,rate_temporal,combined
2,3,34,100.0,1.3633141007633756,0.48039215686274506,2B,rate_temporal,combined
2,4,36,100.0,1.5061363457873351,0.3703703703703704,2B,rate_temporal,combined
3,0,41,100.0,1.4623543194999835,0.4227642276422764,2B,rate_temporal,combined
3,1,37,100.0,1.6545847783017513,0.35135135135135137,2B,rate_temporal,combined
3,2,37,100.0,1.3836851356717845,0.46846846846846846,2B,rate_temporal,combined
3,3,35,100.0,1.4722507357329535,0.41904761904761906,2B,rate_temporal,combined
3,4,39,100.0,1.7676006261133206,0.38461538461538464,2B,rate_temporal,combined
4,0,37,100.0,1.5003147210756111,0.2972972972972973,2B,rate_temporal,combined
4,1,40,100.0,1.4829952319255666,0.375,2B,rate_temporal,combined
4,2,33,100.0,1.660442592153353,0.4444444444444444,2B,rate_temporal,combined
4,3,42,100.0,1.5504920656782164,0.373015873015873,2B,rate_temporal,combined
4,4,37,100.0,1.4434874911804818,0.3693693693693693,2B,rate_temporal,combined
0,0,39,100.0,1.5844216521753853,0.3760683760683761,4B,count_overall,strategy
0,1,39,1000.0,1.547433800515834,0.29914529914529914,4B,count_overall,strategy
0,2,37,100.0,1.8109399480599002,0.11711711711711711,4B,count_overall,strategy
0,3,37,10.0,1.8503250659509685,0.26126126126126126,4B,count_overall,strategy
0,4,37,100.0,1.5886582970766776,0.36936936936936937,4B,count_overall,strategy
1,0,39,100.0,1.6590879168830908,0.2393162393162393,4B,count_overall,strategy
1,1,38,10.0,1.6328660369000805,0.3245614035087719,4B,count_overall,strategy
1,2,36,10.0,1.6606944230596659,0.2962962962962963,4B,count_overall,strategy
1,3,38,100.0,1.706289019526868,0.2456140350877193,4B,count_overall,strategy
1,4,38,10.0,1.563826421041033,0.3157894736842105,4B,count_overall,strategy
2,0,40,100.0,1.7463165206110005,0.32499999999999996,4B,count_overall,strategy
2,1,47,100.0,1.6480891619032634,0.2553191489361702,4B,count_overall,strategy
2,2,32,100.0,1.7106871185694619,0.23958333333333331,4B,count_overall,strategy
2,3,34,100.0,1.6237906078032474,0.27450980392156865,4B,count_overall,strategy
2,4,36,10.0,1.5314230111944864,0.3333333333333333,4B,count_overall,strategy
3,0,41,10.0,1.6360162578945892,0.26016260162601623,4B,count_overall,strategy
3,1,37,1000.0,1.6420586778821313,0.2252252252252252,4B,count_overall,strategy
3,2,37,10.0,1.6292925626704398,0.34234234234234234,4B,count_overall,strategy
3,3,35,100.0,1.6283537837797657,0.3142857142857143,4B,count_overall,strategy
3,4,39,100.0,1.7126963778241378,0.35042735042735035,4B,count_overall,strategy
4,0,37,10.0,1.6630393176010427,0.2792792792792793,4B,count_overall,strategy
4,1,40,100.0,1.6702001428721733,0.3166666666666666,4B,count_overall,strategy
4,2,33,100.0,1.7558013811433324,0.202020202020202,4B,count_overall,strategy
4,3,42,10.0,1.5304036235176033,0.36507936507936506,4B,count_overall,strategy
4,4,37,100.0,1.6570702070143775,0.2702702702702703,4B,count_overall,strategy
0,0,39,10.0,1.3404787677847139,0.4444444444444444,4B,count_overall,enriched
0,1,39,10.0,1.3654734487955273,0.48717948717948717,4B,count_overall,enriched
0,2,37,10.0,1.6179050969809607,0.35135135135135137,4B,count_overall,enriched
0,3,37,100.0,1.6409485983916599,0.32432432432432434,4B,count_overall,enriched
0,4,37,10.0,1.2719011391253408,0.4774774774774775,4B,count_overall,enriched
1,0,39,10.0,1.5052592068360866,0.39316239316239315,4B,count_overall,enriched
1,1,38,10.0,1.3965138412823557,0.45614035087719296,4B,count_overall,enriched
1,2,36,1.0,1.5353514138100157,0.4166666666666667,4B,count_overall,enriched
