repeat,fold,n_test_games,selected_penalty,mean_loss,mean_agreement,model,representation,block
1,3,38,10.0,1.498383049625555,0.45614035087719296,2B,rate_overall,enriched
1,4,39,10.0,1.366587695443608,0.41880341880341876,2B,rate_overall,enriched
2,0,41,10.0,1.5679753697598136,0.30894308943089427,2B,rate_overall,enriched
2,1,47,10.0,1.348210518468129,0.49645390070921985,2B,rate_overall,enriched
2,2,35,10.0,1.3551586725405027,0.3619047619047619,2B,rate_overall,enriched
2,3,32,100.0,1.4576864087287547,0.41666666666666663,2B,rate_overall,enriched
2,4,36,100.0,1.6140840140877302,0.35185185185185186,2B,rate_overall,enriched
3,0,40,10.0,1.516747311482289,0.45,2B,rate_overall,enriched
3,1,37,10.0,1.6574575203030164,0.3783783783783784,2B,rate_overall,enriched
3,2,41,10.0,1.3420214335653928,0.43902439024390244,2B,rate_overall,enriched
3,3,36,100.0,1.3568308758552954,0.5092592592592592,2B,rate_overall,enriched
3,4,37,100.0,1.5884399782495044,0.27927927927927926,2B,rate_overall,enriched
4,0,38,10.0,1.4200722265524293,0.35964912280701755,2B,rate_overall,enriched
4,1,38,100.0,1.3673616992078923,0.41228070175438597,2B,rate_overall,enriched
4,2,40,100.0,1.4902647870249506,0.475,2B,rate_overall,enriched
4,3,33,10.0,1.6655674045561895,0.3939393939393939,2B,rate_overall,enriched
4,4,42,10.0,1.4972266685604485,0.38095238095238093,2B,rate_overall,enriched
0,0,39,10.0,1.3888074077817463,0.47008547008546997,2B,rate_overall,combined
0,1,38,10.0,1.4312899041875349,0.5087719298245613,2B,rate_overall,combined
0,2,38,100.0,1.5579947014594577,0.35964912280701755,2B,rate_overall,combined
0,3,37,10.0,1.5863037274562075,0.42342342342342343,2B,rate_overall,combined
0,4,39,100.0,1.4886011967095767,0.3675213675213675,2B,rate_overall,combined
1,0,37,10.0,1.571764730386091,0.5045045045045045,2B,rate_overall,combined
1,1,39,10.0,1.417261938300261,0.4444444444444444,2B,rate_overall,combined
1,2,38,10.0,1.537157689251851,0.4385964912280701,2B,rate_overall,combined
1,3,38,100.0,1.498798003405264,0.4912280701754386,2B,rate_overall,combined
1,4,39,10.0,1.3589387200810075,0.4102564102564102,2B,rate_overall,combined
2,0,41,10.0,1.5543531198285756,0.3333333333333333,2B,rate_overall,combined
2,1,47,100.0,1.3738298694858013,0.5035460992907802,2B,rate_overall,combined
2,2,35,10.0,1.3419588415290746,0.4857142857142856,2B,rate_overall,combined
2,3,32,100.0,1.45444325951138,0.3854166666666667,2B,rate_overall,combined
2,4,36,100.0,1.6195541498775319,0.32407407407407407,2B,rate_overall,combined
3,0,40,100.0,1.531319239284763,0.4416666666666666,2B,rate_overall,combined
3,1,37,10.0,1.638960325659084,0.4594594594594595,2B,rate_overall,combined
3,2,41,10.0,1.3707689683511555,0.4796747967479674,2B,rate_overall,combined
3,3,36,100.0,1.3666608278106043,0.537037037037037,2B,rate_overall,combined
3,4,37,100.0,1.5833247658303926,0.29729729729729726,2B,rate_overall,combined
4,0,38,10.0,1.3970108530747343,0.3859649122807018,2B,rate_overall,combined
4,1,38,100.0,1.3796537166425995,0.4473684210526316,2B,rate_overall,combined
4,2,40,100.0,1.4926777160799833,0.4833333333333333,2B,rate_overall,combined
4,3,33,10.0,1.6821730890843716,0.4242424242424242,2B,rate_overall,combined
4,4,42,10.0,1.4658624030592005,0.40476190476190477,2B,rate_overall,combined
0,0,39,100.0,1.6068039950552175,0.2051282051282051,2B,count_temporal,strategy
0,1,38,100.0,1.532491828356957,0.23684210526315788,2B,count_temporal,strategy
0,2,38,100.0,1.7359572462406256,0.21929824561403505,2B,count_temporal,strategy
0,3,37,100.0,1.8115853974121323,0.18018018018018017,2B,count_temporal,strategy
0,4,39,100.0,1.6461326919721961,0.3846153846153846,2B,count_temporal,strategy
1,0,37,100.0,1.6352751637452776,0.18918918918918917,2B,count_temporal,strategy
1,1,39,100.0,1.620603152407769,0.28205128205128205,2B,count_temporal,strategy
1,2,38,10.0,1.7131639018017146,0.21929824561403505,2B,count_temporal,strategy
1,3,38,100.0,1.706099124862859,0.2631578947368421,2B,count_temporal,strategy
1,4,39,100.0,1.639040437279407,0.3333333333333333,2B,count_temporal,strategy
2,0,41,100.0,1.7808480111079545,0.21951219512195122,2B,count_temporal,strategy
2,1,47,100.0,1.6206189013170982,0.34751773049645396,2B,count_temporal,strategy
2,2,35,100.0,1.5810114590456,0.2857142857142857,2B,count_temporal,strategy
2,3,32,100.0,1.7722594461859484,0.17708333333333331,2B,count_temporal,strategy
2,4,36,100.0,1.6103040013983305,0.21296296296296294,2B,count_temporal,strategy
3,0,40,100.0,1.7193858415789491,0.2333333333333333,2B,count_temporal,strategy
3,1,37,100.0,1.5507699646489082,0.2792792792792793,2B,count_temporal,strategy
3,2,41,100.0,1.6024834282701432,0.24390243902439024,2B,count_temporal,strategy
3,3,36,100.0,1.6869429456480605,0.2222222222222222,2B,count_temporal,strategy
3,4,37,100.0,1.778058766826667,0.19819819819819817,2B,count_temporal,strategy
4,0,38,100.0,1.7651037146779038,0.14912280701754388,2B,count_temporal,strategy
4,1,38,100.0,1.6313011045032475,0.22807017543859648,2B,count_temporal,strategy
4,2,40,100.0,1.7000750150246589,0.3083333333333333,2B,count_temporal,strategy
4,3,33,100.0,1.6202097153176418,0.30303030303030304,2B,count_temporal,strategy
4,4,42,100.0,1.6098142730590037,0.3333333333333333,2B,count_temporal,strategy
0,0,39,100.0,1.3845845072572838,0.4957264957264957,2B,count_temporal,enriched
0,1,38,100.0,1.3172240422826522,0.543859649122807,2B,count_temporal,enriched
0,2,38,100.0,1.5394556016765206,0.40350877192982454,2B,count_temporal,enriched
0,3,37,100.0,1.5465919652498796,0.4054054054054054,2B,count_temporal,enriched
0,4,39,100.0,1.44963249862677,0.41880341880341876,2B,count_temporal,enriched
1,0,37,100.0,1.5255217707943936,0.3963963963963964,2B,count_temporal,enriched
1,1,39,100.0,1.3907559400074827,0.4444444444444444,2B,count_temporal,enriched
1,2,38,100.0,1.4884132127343073,0.4298245614035087,2B,count_temporal,enriched
1,3,38,100.0,1.4399451314058447,0.46491228070175433,2B,count_temporal,enriched
1,4,39,100.0,1.391432926988169,0.46153846153846145,2B,count_temporal,enriched
