model,decoding_group,semantic_category,discourse_relation,n_runs,mean_lift,sd_lift,min_lift,max_lift,mean_joint_prevalence,mean_support,total_support,low_support_diagnostic
Gemma 4 4B,Stochastic,ClaimComparison,Temporal,3,2.2380598857103133,0.24041386549066748,2.068267419962335,2.5131578947368425,0.1099476439790576,21.0,63,False
Gemma 4 4B,Stochastic,ClaimComparison,Any explicit,3,1.01193208244088,0.044777679879474286,0.9658238884045336,1.0552486187845305,0.17801047120418848,34.0,102,False
Gemma 4 4B,Stochastic,Payoff,Comparison,3,0.996443641736854,0.04469397206701375,0.9486754966887418,1.037245290272972,0.5741710296684118,109.66666666666667,329,False
Gemma 4 4B,Stochastic,Payoff,Contingency,3,1.0753364584560101,0.050133790115713124,1.01768968456948,1.1087461300309598,0.2600349040139616,49.666666666666664,149,False
Gemma 4 4B,Stochastic,Payoff,Expansion,3,1.0556697754859519,0.05892913706512489,0.9891071428571429,1.1011864973262033,0.34205933682373474,65.33333333333333,196,False
Gemma 4 4B,Stochastic,Payoff,Temporal,3,0.933587391339136,0.021021487151416402,0.9182692307692307,0.957553475935829,0.18150087260034906,34.666666666666664,104,False
Gemma 4 4B,Stochastic,Payoff,Any explicit,3,1.0007634533205,0.00865564702230352,0.9915300546448088,1.0086935326616835,0.6893542757417103,131.66666666666666,395,False
Gemma 4 4B,Stochastic,Uncertainty,Comparison,3,1.1125916620064709,0.04242147296328821,1.0636664659843469,1.1391339869281045,0.3787085514834206,72.33333333333333,217,False
Gemma 4 4B,Stochastic,Uncertainty,Contingency,3,0.9727134644370548,0.03382373706763117,0.9377454831107621,1.0052631578947369,0.13961605584642234,26.666666666666668,80,False
Gemma 4 4B,Stochastic,Uncertainty,Expansion,3,0.9510210256472219,0.0769028523946613,0.8879132231404959,1.0366776315789474,0.18150087260034906,34.666666666666664,104,False
Gemma 4 4B,Stochastic,Uncertainty,Temporal,3,0.6161759553262676,0.08522775299315026,0.5426136363636364,0.7095716783216783,0.07155322862129145,13.666666666666666,41,False
Gemma 4 4B,Stochastic,Uncertainty,Any explicit,3,1.0059908723645323,0.02244568478982815,0.9855036855036856,1.0299827437446076,0.41012216404886565,78.33333333333333,235,False
Gemma 4 4B,Greedy,Mechanical,Comparison,1,0.8708206686930093,,0.8708206686930093,0.8708206686930093,0.04712041884816754,9.0,9,True
Gemma 4 4B,Greedy,Mechanical,Contingency,1,1.705357142857143,,1.705357142857143,1.705357142857143,0.04712041884816754,9.0,9,True
