model,decoding_group,semantic_category,discourse_relation,n_runs,mean_lift,sd_lift,min_lift,max_lift,mean_joint_prevalence,total_support,low_support_diagnostic
Gemma 4 2B,Stochastic,SocialJudgment,Expansion.Conjunction,3,1.0001933807973031,0.03610814179458234,0.9734964322120284,1.041277258566978,0.2844677137870855,163,False
Gemma 4 2B,Stochastic,SocialJudgment,Expansion.Alternative,3,0.4248840879944757,0.4665702313291485,0.0,0.9241935483870967,0.006980802792321117,4,False
Gemma 4 2B,Stochastic,SocialJudgment,Expansion.Restatement,3,,,,,0.0,0,False
Gemma 4 2B,Stochastic,SocialJudgment,Temporal.Asynchronous,3,1.2422555393097239,0.06661046536538844,1.184863523573201,1.3152975897688146,0.0837696335078534,48,False
Gemma 4 2B,Stochastic,SocialJudgment,Temporal.Synchrony,3,0.8745282080973529,0.5650353027171274,0.2231308411214953,1.232258064516129,0.0331588132635253,19,False
Gemma 4 2B,Stochastic,Behavioral,Comparison.Contrast,3,0.8796074930577072,0.04396116505260441,0.8400219901044531,0.9269197830431058,0.0837696335078534,48,False
Gemma 4 2B,Stochastic,Behavioral,Comparison.Concession,3,0.0,0.0,0.0,0.0,0.0,0,False
Gemma 4 2B,Stochastic,Behavioral,Contingency.Cause,3,0.898156019744922,0.26593190303073927,0.6241830065359477,1.1552419354838712,0.08551483420593368,49,False
Gemma 4 2B,Stochastic,Behavioral,Contingency.Condition,3,0.740489800676775,0.09604453172954742,0.6485568760611207,0.8401759530791788,0.013961605584642234,8,False
Gemma 4 2B,Stochastic,Behavioral,Expansion.Conjunction,3,0.9426122205154464,0.1740467874872816,0.8009677419354838,1.1369047619047619,0.07504363001745201,43,False
Gemma 4 2B,Stochastic,Behavioral,Expansion.Alternative,3,1.6430107526881719,1.8823052854549793,0.0,3.6967741935483867,0.006980802792321117,4,False
Gemma 4 2B,Stochastic,Behavioral,Expansion.Restatement,3,,,,,0.0,0,False
Gemma 4 2B,Stochastic,Behavioral,Temporal.Asynchronous,3,0.8918635261339748,0.5055859710728399,0.3080645161290323,1.184863523573201,0.017452006980802792,10,False
Gemma 4 2B,Stochastic,Behavioral,Temporal.Synchrony,3,1.7975463841450559,0.49026682022128837,1.232258064516129,2.1066176470588234,0.015706806282722512,9,False
Gemma 4 2B,Stochastic,ClaimComparison,Comparison.Contrast,3,0.9586798629763233,0.38002832098764405,0.5200816882232812,1.1900311526479752,0.04363001745200698,25,True
Gemma 4 2B,Stochastic,ClaimComparison,Comparison.Concession,3,0.0,0.0,0.0,0.0,0.0,0,True
Gemma 4 2B,Stochastic,ClaimComparison,Contingency.Cause,3,0.876613075909329,0.3906652258517939,0.5562026790914386,1.3118131868131868,0.038394415357766144,22,True
Gemma 4 2B,Stochastic,ClaimComparison,Contingency.Condition,3,0.42799151313083206,0.3932177035933184,0.0,0.7732793522267207,0.0034904013961605585,2,True
Gemma 4 2B,Stochastic,ClaimComparison,Expansion.Conjunction,3,1.1766192630898513,0.15067842368728757,1.0111764705882353,1.305982905982906,0.04363001745200698,25,True
Gemma 4 2B,Stochastic,ClaimComparison,Expansion.Alternative,3,0.0,0.0,0.0,0.0,0.0,0,True
Gemma 4 2B,Stochastic,ClaimComparison,Expansion.Restatement,3,,,,,0.0,0,True
