model,decoding_group,semantic_category,discourse_relation,n_runs,mean_localization_rate,sd_localization_rate,min_localization_rate,max_localization_rate,total_n_with_both,total_n_same_sentence
Gemma 4 4B,Greedy,SocialJudgment,Expansion.Alternative,1,0.0,,0.0,0.0,1,0
Gemma 4 4B,Greedy,SocialJudgment,Expansion.Restatement,1,,,,,0,0
Gemma 4 4B,Greedy,SocialJudgment,Temporal.Asynchronous,1,0.7272727272727273,,0.7272727272727273,0.7272727272727273,22,16
Gemma 4 4B,Greedy,SocialJudgment,Temporal.Synchrony,1,0.25,,0.25,0.25,8,2
Gemma 4 4B,Greedy,Behavioral,Comparison.Contrast,1,0.6056338028169014,,0.6056338028169014,0.6056338028169014,71,43
Gemma 4 4B,Greedy,Behavioral,Comparison.Concession,1,1.0,,1.0,1.0,1,1
Gemma 4 4B,Greedy,Behavioral,Contingency.Cause,1,0.15,,0.15,0.15,20,3
Gemma 4 4B,Greedy,Behavioral,Contingency.Condition,1,0.5,,0.5,0.5,2,1
Gemma 4 4B,Greedy,Behavioral,Expansion.Conjunction,1,0.5957446808510638,,0.5957446808510638,0.5957446808510638,47,28
Gemma 4 4B,Greedy,Behavioral,Expansion.Alternative,1,1.0,,1.0,1.0,1,1
Gemma 4 4B,Greedy,Behavioral,Expansion.Restatement,1,,,,,0,0
Gemma 4 4B,Greedy,Behavioral,Temporal.Asynchronous,1,0.3448275862068966,,0.3448275862068966,0.3448275862068966,29,10
Gemma 4 4B,Greedy,Behavioral,Temporal.Synchrony,1,0.8571428571428571,,0.8571428571428571,0.8571428571428571,7,6
Gemma 4 4B,Greedy,ClaimComparison,Comparison.Contrast,1,0.5,,0.5,0.5,20,10
Gemma 4 4B,Greedy,ClaimComparison,Comparison.Concession,1,1.0,,1.0,1.0,1,1
Gemma 4 4B,Greedy,ClaimComparison,Contingency.Cause,1,0.0,,0.0,0.0,5,0
Gemma 4 4B,Greedy,ClaimComparison,Contingency.Condition,1,0.0,,0.0,0.0,1,0
Gemma 4 4B,Greedy,ClaimComparison,Expansion.Conjunction,1,0.4,,0.4,0.4,15,6
Gemma 4 4B,Greedy,ClaimComparison,Expansion.Alternative,1,,,,,0,0
Gemma 4 4B,Greedy,ClaimComparison,Expansion.Restatement,1,,,,,0,0
