model,decoding_group,semantic_category,discourse_relation,n_runs,mean_conditional_prevalence,sd_conditional_prevalence,min_conditional_prevalence,max_conditional_prevalence,mean_n_with_category,total_n_with_category,total_n_with_both,low_support_diagnostic
Gemma 4 4B,Stochastic,Payoff,Any explicit,3,0.9588235294117647,0.010604562574894096,0.95,0.9705882352941176,137.33333333333334,412,395,False
Gemma 4 4B,Stochastic,Uncertainty,Comparison,3,0.891487240829346,0.04401021260739553,0.8409090909090909,0.9210526315789473,81.33333333333333,244,217,False
Gemma 4 4B,Stochastic,Uncertainty,Contingency,3,0.32707336523126,0.026186703116252475,0.3,0.3522727272727273,81.33333333333333,244,80,False
Gemma 4 4B,Stochastic,Uncertainty,Expansion,3,0.42693381180223283,0.015539692472957814,0.4090909090909091,0.4375,81.33333333333333,244,104,False
Gemma 4 4B,Stochastic,Uncertainty,Temporal,3,0.16746411483253587,0.03704756140179085,0.125,0.19318181818181818,81.33333333333333,244,41,False
Gemma 4 4B,Stochastic,Uncertainty,Any explicit,3,0.9637958532695374,0.02008762274315424,0.95,0.9868421052631579,81.33333333333333,244,235,False
Gemma 4 4B,Greedy,Mechanical,Comparison,1,0.6428571428571429,,0.6428571428571429,0.6428571428571429,14.0,14,9,True
Gemma 4 4B,Greedy,Mechanical,Contingency,1,0.6428571428571429,,0.6428571428571429,0.6428571428571429,14.0,14,9,True
Gemma 4 4B,Greedy,Mechanical,Expansion,1,0.35714285714285715,,0.35714285714285715,0.35714285714285715,14.0,14,5,True
Gemma 4 4B,Greedy,Mechanical,Temporal,1,0.21428571428571427,,0.21428571428571427,0.21428571428571427,14.0,14,3,True
Gemma 4 4B,Greedy,Mechanical,Any explicit,1,1.0,,1.0,1.0,14.0,14,14,True
Gemma 4 4B,Greedy,Testimony,Comparison,1,0.7299270072992701,,0.7299270072992701,0.7299270072992701,137.0,137,100,False
Gemma 4 4B,Greedy,Testimony,Contingency,1,0.38686131386861317,,0.38686131386861317,0.38686131386861317,137.0,137,53,False
Gemma 4 4B,Greedy,Testimony,Expansion,1,0.45985401459854014,,0.45985401459854014,0.45985401459854014,137.0,137,63,False
Gemma 4 4B,Greedy,Testimony,Temporal,1,0.34306569343065696,,0.34306569343065696,0.34306569343065696,137.0,137,47,False
Gemma 4 4B,Greedy,Testimony,Any explicit,1,0.9854014598540146,,0.9854014598540146,0.9854014598540146,137.0,137,135,False
Gemma 4 4B,Greedy,SocialJudgment,Comparison,1,0.7572815533980582,,0.7572815533980582,0.7572815533980582,103.0,103,78,False
Gemma 4 4B,Greedy,SocialJudgment,Contingency,1,0.2524271844660194,,0.2524271844660194,0.2524271844660194,103.0,103,26,False
Gemma 4 4B,Greedy,SocialJudgment,Expansion,1,0.5825242718446602,,0.5825242718446602,0.5825242718446602,103.0,103,60,False
Gemma 4 4B,Greedy,SocialJudgment,Temporal,1,0.2621359223300971,,0.2621359223300971,0.2621359223300971,103.0,103,27,False
Gemma 4 4B,Greedy,SocialJudgment,Any explicit,1,0.9902912621359223,,0.9902912621359223,0.9902912621359223,103.0,103,102,False
Gemma 4 4B,Greedy,Behavioral,Comparison,1,0.7395833333333334,,0.7395833333333334,0.7395833333333334,96.0,96,71,False
Gemma 4 4B,Greedy,Behavioral,Contingency,1,0.21875,,0.21875,0.21875,96.0,96,21,False
Gemma 4 4B,Greedy,Behavioral,Expansion,1,0.4895833333333333,,0.4895833333333333,0.4895833333333333,96.0,96,47,False
