model,decoding_group,semantic_category,discourse_relation,n_runs,mean_relations_per_100_words,sd_relations_per_100_words,min_relations_per_100_words,max_relations_per_100_words,mean_per_justification_density,total_words,total_relations,low_support_diagnostic
Gemma 4 4B,Greedy,Testimony,Contingency,1,0.6618313689936537,,0.6618313689936537,0.6618313689936537,0.6851221566422454,11030,73,False
Gemma 4 4B,Greedy,Testimony,Expansion,1,0.6799637352674524,,0.6799637352674524,0.6799637352674524,0.6878987402894884,11030,75,False
Gemma 4 4B,Greedy,Testimony,Temporal,1,0.5802357207615594,,0.5802357207615594,0.5802357207615594,0.5800244268229583,11030,64,False
Gemma 4 4B,Greedy,Testimony,Any explicit,1,3.0371713508612874,,3.0371713508612874,3.0371713508612874,3.056567776736828,11030,335,False
Gemma 4 4B,Greedy,SocialJudgment,Comparison,1,1.1872254541137361,,1.1872254541137361,1.1872254541137361,1.178571960582236,8423,100,False
Gemma 4 4B,Greedy,SocialJudgment,Contingency,1,0.3680398907752582,,0.3680398907752582,0.3680398907752582,0.3681253029862213,8423,31,False
Gemma 4 4B,Greedy,SocialJudgment,Expansion,1,0.8904190905853021,,0.8904190905853021,0.8904190905853021,0.9002255092454343,8423,75,False
Gemma 4 4B,Greedy,SocialJudgment,Temporal,1,0.41552890893980765,,0.41552890893980765,0.41552890893980765,0.41958686152550345,8423,35,False
Gemma 4 4B,Greedy,SocialJudgment,Any explicit,1,2.861213344414104,,2.861213344414104,2.861213344414104,2.8665096343393954,8423,241,False
Gemma 4 4B,Greedy,Behavioral,Comparison,1,1.1050409734293518,,1.1050409734293518,1.1050409734293518,1.1036315691158434,8054,89,False
Gemma 4 4B,Greedy,Behavioral,Contingency,1,0.285572386391855,,0.285572386391855,0.285572386391855,0.28262253408020976,8054,23,False
Gemma 4 4B,Greedy,Behavioral,Expansion,1,0.6828904891979141,,0.6828904891979141,0.6828904891979141,0.6843459018677525,8054,55,False
Gemma 4 4B,Greedy,Behavioral,Temporal,1,0.5463123913583313,,0.5463123913583313,0.5463123913583313,0.547920480322518,8054,44,False
Gemma 4 4B,Greedy,Behavioral,Any explicit,1,2.6198162403774523,,2.6198162403774523,2.6198162403774523,2.6185204853863238,8054,211,False
Gemma 4 4B,Greedy,ClaimComparison,Comparison,1,0.7825236387349201,,0.7825236387349201,0.7825236387349201,0.7757964195738362,3067,24,False
Gemma 4 4B,Greedy,ClaimComparison,Contingency,1,0.19563090968373004,,0.19563090968373004,0.19563090968373004,0.1981155158667587,3067,6,False
Gemma 4 4B,Greedy,ClaimComparison,Expansion,1,0.58689272905119,,0.58689272905119,0.58689272905119,0.5878899515942797,3067,18,False
Gemma 4 4B,Greedy,ClaimComparison,Temporal,1,1.2063906097163353,,1.2063906097163353,1.2063906097163353,1.1958694835106964,3067,37,False
Gemma 4 4B,Greedy,ClaimComparison,Any explicit,1,2.7714378871861753,,2.7714378871861753,2.7714378871861753,2.7576713705455713,3067,85,False
Gemma 4 4B,Greedy,Payoff,Comparison,1,1.16142972899973,,1.16142972899973,1.16142972899973,1.150710331064761,11107,129,False
Gemma 4 4B,Greedy,Payoff,Contingency,1,0.6932565049068156,,0.6932565049068156,0.6932565049068156,0.7182175328617805,11107,77,False
Gemma 4 4B,Greedy,Payoff,Expansion,1,0.77428648599982,,0.77428648599982,0.77428648599982,0.7806301193089633,11107,86,False
Gemma 4 4B,Greedy,Payoff,Temporal,1,0.44116323039524624,,0.44116323039524624,0.44116323039524624,0.44511060862860036,11107,49,False
Gemma 4 4B,Greedy,Payoff,Any explicit,1,3.0701359503016117,,3.0701359503016117,3.0701359503016117,3.094668591864105,11107,341,False
Gemma 4 4B,Greedy,Uncertainty,Comparison,1,1.362995456681811,,1.362995456681811,1.362995456681811,1.3624164614189094,6383,87,False
Gemma 4 4B,Greedy,Uncertainty,Contingency,1,0.7363308788970704,,0.7363308788970704,0.7363308788970704,0.7460281296778305,6383,47,False
Gemma 4 4B,Greedy,Uncertainty,Expansion,1,0.6423311922293592,,0.6423311922293592,0.6423311922293592,0.6494289028727936,6383,41,False
Gemma 4 4B,Greedy,Uncertainty,Temporal,1,0.2663324455585148,,0.2663324455585148,0.2663324455585148,0.2623054429670149,6383,17,False
Gemma 4 4B,Greedy,Uncertainty,Any explicit,1,3.0079899733667554,,3.0079899733667554,3.0079899733667554,3.020178936936548,6383,192,False
Gemma 4 31B,Stochastic,Mechanical,Comparison,3,0.5015592267850031,0.05629298526996509,0.46397731666451864,0.5662805662805663,0.4963570795434625,23328,117,False
Gemma 4 31B,Stochastic,Mechanical,Contingency,3,1.3803169063732756,0.06600720670536038,1.3274906560123727,1.4543114543114544,1.373216643786085,23328,322,False
Gemma 4 31B,Stochastic,Mechanical,Expansion,3,1.0116650637827103,0.02695743563151603,0.9923959273102204,1.0424710424710424,0.9844546565333094,23328,236,False
Gemma 4 31B,Stochastic,Mechanical,Temporal,3,0.6472409114829373,0.04771730896365797,0.5928599046268849,0.6821106821106822,0.6202486367840466,23328,151,False
Gemma 4 31B,Stochastic,Mechanical,Any explicit,3,3.540782108423926,0.18750712782225262,3.3767238046139965,3.7451737451737452,3.4742770166469037,23328,826,False
Gemma 4 31B,Stochastic,Testimony,Comparison,3,0.6956823424538321,0.05948680294934523,0.6291946308724832,0.743866676203419,0.6972614039450794,42571,296,False
Gemma 4 31B,Stochastic,Testimony,Contingency,3,1.054822878795192,0.047463539105625355,1.000979980400392,1.0906040268456376,1.0338380195156167,42571,449,False
Gemma 4 31B,Stochastic,Testimony,Expansion,3,1.021824045131807,0.013375540767604367,1.0079798404031919,1.034675615212528,1.006821996353143,42571,435,False
Gemma 4 31B,Stochastic,Testimony,Temporal,3,0.7664992873072659,0.08900856869176858,0.6929861402771944,0.8654602675059009,0.7566562295770689,42571,326,False
Gemma 4 31B,Stochastic,Testimony,Any explicit,3,3.5388285536880972,0.14933371345335647,3.4159316813663727,3.7050282526285674,3.4945776493909073,42571,1506,False
Gemma 4 31B,Stochastic,SocialJudgment,Comparison,3,0.8300533181557794,0.06452979623983263,0.7870665815783876,0.9042553191489362,0.8299331931042797,12592,104,False
Gemma 4 31B,Stochastic,SocialJudgment,Contingency,3,0.6984922876440617,0.0060647314413550925,0.6914893617021277,0.7020091987412249,0.6722284675502621,12592,88,False
Gemma 4 31B,Stochastic,SocialJudgment,Expansion,3,1.0882161129681895,0.1091508722639467,0.9785152095298872,1.196808510638298,1.1001220609410074,12592,136,False
Gemma 4 31B,Stochastic,SocialJudgment,Temporal,3,0.6975214496054454,0.09208850488819248,0.6168900233992768,0.7978723404255319,0.6727177745601066,12592,87,False
Gemma 4 31B,Stochastic,SocialJudgment,Any explicit,3,3.314283168373476,0.2561468219992966,3.0844501169963836,3.5904255319148937,3.275001496155656,12592,415,False
Gemma 4 31B,Stochastic,Behavioral,Comparison,3,0.754199521925587,0.08967904398004516,0.670995670995671,0.8491884338385467,0.7643665665595636,27837,210,False
Gemma 4 31B,Stochastic,Behavioral,Contingency,3,0.9845245172959697,0.09530521479605658,0.9145685388422639,1.093073593073593,0.9493992108969677,27837,274,False
Gemma 4 31B,Stochastic,Behavioral,Expansion,3,0.9950362350221283,0.019116954385972877,0.974025974025974,1.0114052076608564,0.9740056539861276,27837,277,False
