model,decoding_group,semantic_category,discourse_relation,n_runs,mean_joint_prevalence,sd_joint_prevalence,mean_lift,sd_lift,mean_support,total_support,support_is_thin
Gemma 4 4B,Stochastic,Behavioral,Comparison.Contrast,3,0.09686601982735338,0.0007312712254363835,1.3320548780850787,0.010360156932322789,72.0,216,False
Gemma 4 4B,Stochastic,Behavioral,Comparison.Concession,3,0.0,0.0,0.0,0.0,0.0,0,False
Gemma 4 4B,Stochastic,Behavioral,Contingency.Cause,3,0.012525896453413036,0.003957041016840332,0.47071104208396736,0.13183601866109548,9.333333333333334,28,False
Gemma 4 4B,Stochastic,Behavioral,Contingency.Condition,3,0.001811597547205223,0.0015688938416890915,0.36093722830812025,0.32465123937368884,1.3333333333333333,4,False
Gemma 4 4B,Stochastic,Behavioral,Expansion.Conjunction,3,0.04121486870388424,0.006236601260389977,1.073145585823207,0.20707332230862546,30.666666666666668,92,False
Gemma 4 4B,Stochastic,Behavioral,Expansion.Alternative,3,0.0,0.0,0.0,,0.0,0,False
Gemma 4 4B,Stochastic,Behavioral,Expansion.Restatement,3,0.0,0.0,,,0.0,0,False
Gemma 4 4B,Stochastic,Behavioral,Temporal.Asynchronous,3,0.017934397797239637,0.0027803100023803488,0.9960283698497774,0.10998500968035488,13.333333333333334,40,False
Gemma 4 4B,Stochastic,Behavioral,Temporal.Synchrony,3,0.01122039624101497,0.003460881218592512,2.2397671266201193,0.14520625326589698,8.333333333333334,25,False
Gemma 4 4B,Stochastic,ClaimComparison,Comparison.Contrast,3,0.017969527276929204,0.0036071835092087285,0.9883637763499854,0.16434065831926303,13.333333333333334,40,False
Gemma 4 4B,Stochastic,ClaimComparison,Comparison.Concession,3,0.0,0.0,0.0,0.0,0.0,0,False
Gemma 4 4B,Stochastic,ClaimComparison,Contingency.Cause,3,0.0031421583525369154,0.002079683378188624,0.49735115304197525,0.35933256024533516,2.3333333333333335,7,False
Gemma 4 4B,Stochastic,ClaimComparison,Contingency.Condition,3,0.00045228403437358656,0.0007833789269872805,0.3988095238095238,0.6907583577804451,0.3333333333333333,1,False
Gemma 4 4B,Stochastic,ClaimComparison,Expansion.Conjunction,3,0.010274545168301041,0.004572830160458131,1.1067708901742515,0.5786725287284542,7.666666666666667,23,False
Gemma 4 4B,Stochastic,ClaimComparison,Expansion.Alternative,3,0.0,0.0,0.0,,0.0,0,False
Gemma 4 4B,Stochastic,ClaimComparison,Expansion.Restatement,3,0.0,0.0,,,0.0,0,False
Gemma 4 4B,Stochastic,ClaimComparison,Temporal.Asynchronous,3,0.025976498749085117,0.003764179074295343,5.844860848094055,1.140345357970736,19.333333333333332,58,False
Gemma 4 4B,Stochastic,ClaimComparison,Temporal.Synchrony,3,0.001346783216364822,0.00136075297675732,0.9475597931480285,0.904379163403018,1.0,3,False
Gemma 4 4B,Stochastic,Payoff,Comparison.Contrast,3,0.02917739322147736,0.003189329589084906,0.5489025262217222,0.058867205849302044,21.666666666666668,65,False
Gemma 4 4B,Stochastic,Payoff,Comparison.Concession,3,0.00045228403437358656,0.0007833789269872805,1.1810897435897434,1.6703131337643764,0.3333333333333333,1,False
Gemma 4 4B,Stochastic,Payoff,Contingency.Cause,3,0.03320275116439414,0.004332750286481588,1.7189741713270783,0.04582704472617485,24.666666666666668,74,False
Gemma 4 4B,Stochastic,Payoff,Contingency.Condition,3,0.013911501264033739,0.003472396657081613,3.889843605535557,0.39760485895486086,10.333333333333334,31,False
Gemma 4 4B,Stochastic,Payoff,Expansion.Conjunction,3,0.03012201358933585,0.006810171958911786,1.0590299878622595,0.181770915601508,22.333333333333332,67,False
Gemma 4 4B,Stochastic,Payoff,Expansion.Alternative,3,0.0,0.0,0.0,,0.0,0,False
Gemma 4 4B,Stochastic,Payoff,Expansion.Restatement,3,0.0,0.0,,,0.0,0,False
Gemma 4 4B,Stochastic,Payoff,Temporal.Asynchronous,3,0.0013443218066539451,0.0013570256647285148,0.11348123570345792,0.13003395180869165,1.0,3,False
Gemma 4 4B,Stochastic,Payoff,Temporal.Synchrony,3,0.0008920377722803587,0.0007727559829096491,0.29276957610290943,0.2676616671514719,0.6666666666666666,2,False
Gemma 4 4B,Stochastic,Uncertainty,Comparison.Contrast,3,0.05257925173031136,0.010455317836609322,1.3960541618145086,0.18404861297446745,39.0,117,False
Gemma 4 4B,Stochastic,Uncertainty,Comparison.Concession,3,0.0,0.0,0.0,0.0,0.0,0,False
