model,decoding_group,semantic_category,discourse_relation,n_runs,mean_conditional_prevalence,sd_conditional_prevalence,min_conditional_prevalence,max_conditional_prevalence,mean_n_semantic_sentences,total_n_semantic_sentences,total_n_joint_sentences,support_is_thin
Gemma 4 2B,Greedy,Payoff,Comparison,1,0.047619047619047616,,0.047619047619047616,0.047619047619047616,189.0,189,9,False
Gemma 4 2B,Greedy,Payoff,Contingency,1,0.6084656084656085,,0.6084656084656085,0.6084656084656085,189.0,189,115,False
Gemma 4 2B,Greedy,Payoff,Expansion,1,0.1746031746031746,,0.1746031746031746,0.1746031746031746,189.0,189,33,False
Gemma 4 2B,Greedy,Payoff,Temporal,1,0.0,,0.0,0.0,189.0,189,0,False
Gemma 4 2B,Greedy,Payoff,Any explicit,1,0.6666666666666666,,0.6666666666666666,0.6666666666666666,189.0,189,126,False
Gemma 4 2B,Greedy,Uncertainty,Comparison,1,0.30392156862745096,,0.30392156862745096,0.30392156862745096,204.0,204,62,False
Gemma 4 2B,Greedy,Uncertainty,Contingency,1,0.23529411764705882,,0.23529411764705882,0.23529411764705882,204.0,204,48,False
Gemma 4 2B,Greedy,Uncertainty,Expansion,1,0.18627450980392157,,0.18627450980392157,0.18627450980392157,204.0,204,38,False
Gemma 4 2B,Greedy,Uncertainty,Temporal,1,0.0,,0.0,0.0,204.0,204,0,False
Gemma 4 2B,Greedy,Uncertainty,Any explicit,1,0.553921568627451,,0.553921568627451,0.553921568627451,204.0,204,113,False
Gemma 4 4B,Stochastic,Mechanical,Comparison,3,0.36379410063620593,0.07003043170830735,0.2857142857142857,0.42105263157894735,15.333333333333334,46,17,True
Gemma 4 4B,Stochastic,Mechanical,Contingency,3,0.15962984384037016,0.0644122364601557,0.10526315789473684,0.23076923076923078,15.333333333333334,46,7,True
Gemma 4 4B,Stochastic,Mechanical,Expansion,3,0.09080393290919607,0.04668695447220489,0.05263157894736842,0.14285714285714285,15.333333333333334,46,4,True
Gemma 4 4B,Stochastic,Mechanical,Temporal,3,0.12589165220744167,0.043069401345381134,0.07692307692307693,0.15789473684210525,15.333333333333334,46,6,True
Gemma 4 4B,Stochastic,Mechanical,Any explicit,3,0.6712936186620397,0.05070001694736265,0.6153846153846154,0.7142857142857143,15.333333333333334,46,31,True
Gemma 4 4B,Stochastic,Testimony,Comparison,3,0.327298412360653,0.007081869139861291,0.31950207468879666,0.3333333333333333,235.33333333333334,706,231,False
Gemma 4 4B,Stochastic,Testimony,Contingency,3,0.11482685134137416,0.006681634978842907,0.1078838174273859,0.12121212121212122,235.33333333333334,706,81,False
Gemma 4 4B,Stochastic,Testimony,Expansion,3,0.17150515075826278,0.012806228023541944,0.1623931623931624,0.18614718614718614,235.33333333333334,706,121,False
